	TRAVELRES13	TRAVELRES35	TRAVELRES37	TRAVELRES39	TRAVELRES57	TRAVELRES59	TRAVELRES63	TRAVELRES65	TRAVELRES67	TRAVELRES47	TRAVELRES23	TRAVELRES70	TRAVELRES21	TRAVELRES27	TRAVELRES1	TRAVELRES3	TRAVELRES5	TRAVELRES17	TRAVELRES19	TRAVELRES25	TRAVELRES41	TRAVELRES43	TRAVELRES45	TRAVELRES55	TRAVELRES7	TRAVELRES11	TRAVELRES15	TRAVELRES29	TRAVELRES31	TRAVELRES33	TRAVELRES61	TRAVELRES9	TRAVELRES53	TRAVELRES49	TRAVELRES51	TRAVELRES14	TRAVELRES36	TRAVELRES38	TRAVELRES40	TRAVELRES58	TRAVELRES60	TRAVELRES64	TRAVELRES66	TRAVELRES68	TRAVELRES48	TRAVELRES24	TRAVELRES69	TRAVELRES22	TRAVELRES28	TRAVELRES2	TRAVELRES4	TRAVELRES6	TRAVELRES18	TRAVELRES20	TRAVELRES26	TRAVELRES42	TRAVELRES44	TRAVELRES46	TRAVELRES56	TRAVELRES8	TRAVELRES12	TRAVELRES16	TRAVELRES30	TRAVELRES32	TRAVELRES34	TRAVELRES62	TRAVELRES10	TRAVELRES54	TRAVELRES50	TRAVELRES52
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens	0.16972	0.65466	0.28084	2.16154	0.56701	2.77388	0.08789	0.30945	0.3359	0.38816	1.68454	3.01109	0.36756	1.68564	0.69478	4.73623	0.05688	0.40132	1.56623	2.07476	7.65131	0.9727	0.20827	1.50996	6.05959	0.94625	1.20287	2.09867	4.51659	0.10745	2.13646	0.81737	2.6775	0.02213	0.30766	0.14085	0.80725	0.60589	2.57419	0.59958	3.73466	0.28059	0.01851	0.00802	1.14566	0.15205	1.94263	0.98265	3.43219	1.65964	5.57383	0.13803	1.85385	5.91725	7.64865	2.19266	0.29851	0.78986	3.14343	1.55369	6.00641	17.57803	1.10955	0	0	4.00831	1.20959	2.94439	0.00056	0.01741
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_unclassified	0.16198	0	0	0.59031	0	0	1.46832	0	0.31947	0.29053	0	0	0	0	0	0	0	0.13863	0	0.23562	0	0.89319	0.00018	0	0.06187	0	0	0.04724	0.06058	0	0.29485	0	0	0.00114	0	0.92745	0	0	1.43087	0	0	1.64194	0	0.22656	0.95888	0	0	0	0	0	0	0	0.17799	0	0.01993	0	0.70758	0	0	0.04603	0	0	2.12555	0	0	0.5677	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_22	0.15317	0	0	0.85965	0	0	0	1.03836	0	0	0	0	0	0.86164	0	0	0	0	0	0	0.0679	0.16556	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5922	0	0	0	0	0	0	0	0	0	0.23913	0	0	1.20631	0	0	0	0	0	0	0.0184	0.06451	0	0	0	0	0	0	0	0	0	0.0649	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	0.1209	0.11155	0.08096	0.16217	0.1776	0.15859	0.1219	0.07054	0.09075	0.15748	0.03205	0.03218	0.19095	0.14043	0.06697	0.03615	0.02941	0.03043	0.1555	0.01677	0.04034	0.19816	0.0254	0.07312	0.0558	0.03703	0.01	0.16751	0.05471	0.08884	0.04663	0.04499	0.07259	0.00848	0.08274	0.04029	0.05218	0.07732	0.07123	0.20106	0.13607	0.31487	0.13567	0.15706	0.03218	0.10732	0.01633	0.0822	0.0609	0.01643	0.09135	0.06938	0.05701	0.1807	0.10865	0.01711	0.19008	0.03378	0.06972	0.14332	0.22987	0.06126	0.14927	0	0	0.0468	0.04122	0.13001	0.15038	0.0763
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	0.11681	0.14363	0.23385	0.09432	0.20583	0.30335	0.62682	0.05538	0.84157	0.47445	0.21086	0.05109	2.45491	0.36075	0.09566	0.05773	0.08211	0.09522	0.20195	0.08999	0.19091	0.45742	0.0418	0.33605	0.17096	0.26022	0.02469	0.14755	0.18582	0.1231	0.16153	0.0991	0.09259	0.18794	0.12885	0.3474	0.13114	0.11939	0.06538	0.81373	0.24099	0.44037	0.13541	0.2412	0.14571	0.05476	0.05375	0.62616	0.13743	0.05444	1.07665	0.59165	0.11286	0.57015	0.25312	0.31959	0.2902	0.03476	0.43071	1.64513	0.84523	0.04847	0.1423	0.04536	0	0.29756	0.12238	0.14029	0.16829	0.2709
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus	0.09344	0.03716	0.29389	0.19318	0.1759	0.07096	0.07622	0.01923	0.1305	0.1822	0.23844	0.06452	0.14616	0.07807	0.09085	0.05076	0.06174	0.04707	0.30077	0.03187	0.10962	0.12848	0.02825	0.12304	0.04313	0.16477	0.09785	0.10434	0.09123	0.25293	0.02785	0.09051	0.15249	0.06482	0.0918	0.21774	0.12095	0.73985	0.03822	0.02756	0.99106	0.05265	0.04661	0.24063	0.01221	0.05172	0.03585	0.15142	0.0616	0.03535	0.07963	0.08198	0.06938	0.38063	0.15178	0.04632	0.02444	0.05311	0.11524	0.03482	0.77111	0.11631	0.02419	0	0	0.02541	0.0326	0.1465	0.10977	0.25174
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola	0.09309	0	0	0	0	0	4.94058	0	0.09808	0	0	0	8.56585	0	0	0	0	0.3107	0	3.41825	0	11.78676	0.00241	0	0	0	0	0	0	0	16.18428	0	0	0	0	0.20028	0	0	0	0	0	2.44627	0	0.10682	0	0	0	13.5466	0	0	0	0	0.06791	0	3.66768	0.00049	4.31891	0	0	0	0	0	0	0	0	13.06681	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	0.09289	0.02322	0.00312	0.05897	0.04842	0.07813	0.01216	0.02337	0.03484	0.02617	0	0.00467	0.08863	0.0071	0.02088	0.35785	0.02983	0.03124	0.01062	0.01197	0.04649	0.01447	0.0112	0.04844	0.01579	0.21539	0.02842	0.00443	0.13974	0.04457	0.01404	0.00883	0.01681	0.00327	0.00247	0.01874	0.01859	0.00749	0.03293	0.0212	0.00917	0.04807	0.01645	0.00129	0.01346	0.00021	0.02981	0.10299	0.01537	0.08642	0.1683	0.0021	0.04952	0.06102	0.04362	0.14264	0.0107	0.12959	0.97473	0.32621	0.61704	0.0538	0.01892	0.02203	0.00322	0.01566	0.00767	0.01384	0.01742	0.01346
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii	0.09147	0.08824	8.70116	0.16669	0	0.09587	0.01298	0.00584	0.01608	0.41515	0.67777	0.47088	0.00206	0.4848	0.19575	1.91029	0.34771	0.13823	0.37753	0.13083	0.33593	0.03838	0.10385	0.34868	0.47062	0.41206	1.86866	2.19351	0.02769	0.49614	0.00351	1.2028	1.65972	0.24127	0.68112	1.91354	0.69997	3.54328	0.69655	0	0.19371	0.00553	0.00645	0.00037	0.26013	2.20986	0.15898	0.00097	0.60085	0.35398	1.70633	1.8286	0.08975	0.21576	0.13117	0.17306	0.00862	0.79278	0.00484	0.07126	0.24453	3.79241	0.21962	0	0.9908	0.00646	0.36905	0.98159	0.56179	0.21387
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	0.09019	0.47609	0.00017	0.64514	0	1.39162	0.71123	0.30417	0.26992	0.59328	0	0.21326	0.00791	0.99327	0.4587	2.18355	1.24203	1.6055	1.40352	0.70315	0.64436	0.79891	0.24591	0.35006	0.47971	2.12738	3.66596	1.43814	1.2934	0.58342	0.25846	5.52549	0.53008	4.51213	0.00145	2.54741	2.44358	0	2.24676	0	1.79917	0.42805	0.38317	0.02952	0.1938	0.23623	0.56292	1.54585	1.4177	0.44923	1.81662	2.79349	1.38014	0.64623	1.06291	0.1934	0.20564	0.49395	0.34075	0.1741	0.96762	2.96395	1.55545	1.91108	0.91191	0.28449	3.56725	1.11139	3.95724	0.20553
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii	0.08486	0.05485	0	0	0	0	0	0.10709	0	0.00764	0	0	0	0.00105	0	0.02602	0.00199	0.00854	0	0.00427	0.00262	0	0	0.0452	0.02471	0.01276	0.07606	0.14662	0.00028	0	0.00943	0.00354	0	0	0.08902	0.43008	0.07345	0	0	0	0.00408	0	0.00119	0	0.34725	0	0	0	0.03701	0	0.02116	0.02496	0.01624	0.09096	0.00732	0.00315	0	0.00761	0.06012	0.0025	0.0718	0.20325	0.00028	0	0	0.02008	0.00377	0.15143	0	0.14038
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA	0.07618	0.71298	0	0	0.09669	0	0	0	0	0	0	0.33548	1.87858	0.71063	0.12948	0	0	0.08328	0	0.55506	0	0	0	0	0	0.3518	0.20183	0	0	0	0	0	0	0.08411	0	0	0.55017	0	0.1465	0.00232	0	0	0	0	0	0	0	0	0.43121	0	0	0	0.13837	0.09074	0	0	0	0	0	0	0.14113	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum	0.07503	0.00098	0.00356	0.01697	0.00715	0.02404	0.05979	0.09604	0.00716	0.00471	0.01275	0.00292	0.1148	0.00855	0.02364	0.01231	0.00061	0.0148	0.00685	0	0.00484	0	0.00041	0.04086	0.01456	0.01177	0.00465	0.03486	0.59408	0.0135	0.01416	0.00634	0.16991	0	0.00318	0.00609	0.00728	0.00136	0.00546	0.02169	0.03398	0	0.0061	0	0.00282	0.00936	0.0022	0.46682	0.00639	0.00604	0.14898	0.00182	0.00495	0	0.00065	0.00033	0	0.00206	0.00627	0.02569	0.02079	0.00205	0.15149	0.44828	0.50257	0.00904	0.01064	1.06441	0.00616	0.01441
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger	0.07256	0	0	0	0	0	0	0	0	0.03562	0	0	0	0	0	0.04844	0	0.01362	0	0	0	0	0.0743	0.08809	0	0	0	0	0	0	0	0.45354	0	0	0	0.54124	0	0	0	0	0	0	0	0	0.05649	0	0	0	0	0	0.07514	0	0.06578	0	0	0	0	0.15585	0.10126	0	0	0	0	0	0	0	0.2197	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	0.07207	0.22351	0	0.8171	0.26313	0.03578	0.21218	0.04595	1.63241	0.21228	0.41025	0.09008	0	0.34785	0.17147	0	0.18849	0.07171	0.45069	0.02751	0.11972	0.15546	0.02651	0.15883	0.05794	0.04716	0.17929	0.12665	0.15617	0.39359	0.22467	0.6633	0	0.00864	0	0.07234	0.05906	0	0.17397	0.16846	0.05926	1.31195	0.01607	0.09271	0.01725	0.49953	0.06583	0.19415	0.19375	0.02097	0	0.27282	0.06971	0.42511	0.14016	0.07582	0.07991	0.04898	0.07906	0.26315	0.01008	0.09375	0.17227	0.1315	0	0.3439	0.23072	0	0.18682	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	0.06636	0.02555	0.00244	0.00525	0.01127	0.10797	0.00833	0.06082	0.00387	0.03083	0.01869	0.02241	0.02465	0.00589	0.01533	0.77508	0.03847	0.05263	0.01766	0.00683	0.01665	0.00742	0.01732	0.06469	0.0116	0.02951	0.1588	0.00151	0.07932	0.00903	0.05998	0.00143	0.01447	0.0025	0.01631	0.01528	0.00921	0.00121	0.02632	0.03843	0.02849	0.00207	0.03313	0	0.0038	0.01532	0.07233	0.05281	0.00652	0.25793	0.14835	5e-04	0.02557	0.00895	0.02288	0.18738	0.02411	0.10093	0.91103	0.02662	0.10253	0.16431	0.00488	0.05428	0.01077	0.06704	0.00655	0.00564	0.00699	0.00731
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes	0.06237	0.06178	0.12398	0.14213	0.39849	0.07305	0.0819	0.05503	0.59216	1.07576	0.43751	0.07671	0.41877	0.49487	0.03192	0.06048	0.06444	0.2066	0.18731	0.0126	0.26821	0	0.02567	0.25504	0.16865	0.07548	0.05278	0.11774	0.40579	0.04368	0.078	0.06586	0.26049	0.11515	0.13278	0.28076	0.05389	0.17148	0.08665	0.33297	0.49128	2.35952	0.09095	0.33242	0.24772	0.15078	0.07273	0.43872	0.14118	0.00781	0.25803	0.12039	0.08627	1.88118	0.46597	0.09132	7e-05	0.06382	0.29792	0.76651	0.20542	0.2065	0.10023	0.19146	0	0.15519	0.04293	0.27516	0.36628	0.44387
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_unclassified	0.06229	0.03461	0.08117	0.131	0.034	0.48264	0.1025	1.06744	0.04715	0.18319	0.29885	0.22308	0.22042	0.04239	0.15176	0.08876	0.08259	0.13053	0.33725	0.0106	0.12196	0.03346	0.03344	0.08851	0.09739	0.11885	0.28283	0.07356	0.84352	0	0.06174	0.06229	0.37662	0.04187	0.51332	0.10348	0.0873	0.04539	0.16004	0.16146	0.19399	0.079	0.15467	0.03597	0.09434	0.1748	0.08803	0.64271	0.07025	0.04606	0.28295	0.17803	0.06986	0.08408	0.0652	0.04402	0.02496	0.06708	0.11304	0.10454	0.24942	0.18592	0.34976	0.25497	1.00287	0.10122	0.18516	0.66167	0.05582	0.15485
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0.06015	0.05367	0	2.94609	0.79441	0	0.11918	0.1109	1.08695	0.0751	0.18438	0.06218	0	0	0	0.04423	0.27521	0.09561	1.55797	0.1598	0.12456	0.06132	0	0.08286	0.2197	1.52183	0.00778	0.35585	0.07323	1.16099	2.32142	0.76897	0	0.03279	0.14965	0.02933	0.04918	0	0.94999	0.67025	0.00255	4.00527	0.01331	0.0185	0	0.30371	0.02699	0	0	0	0.21514	0.17574	0.1797	0.14797	0.07528	0.05449	0.01388	0	0.19734	0.06439	0.39778	0.00567	0.01628	0.16936	1.92893	6.27809	0.29774	0.00156	0.13401	0.00785
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA	0.05481	0.02737	0.03498	0.04219	0.04465	0.43539	0.07135	0.00322	0.01451	0.06772	0.01061	0.07518	0.04619	0.08375	0.08693	0.09592	0.00598	0.01144	0.02875	0.00571	0.02798	0.07283	0.04807	0.06347	0.01561	0.1843	0.03359	0.026	0.03654	0.01877	0.02473	0.00527	0.03081	0.00369	0.2502	0.06752	0.02049	0.01085	0.03491	0.08982	0.03776	0	0.02398	0.02535	0.71829	0.15357	0.0238	0.12063	0.04557	0.01686	0.11993	0.01503	0.0246	0.05084	0.0074	0.04044	0.03362	0.1067	0.0499	0.07192	0.12985	0.05515	0.25378	0.07232	0.00691	0.02636	0.00523	0.01573	0.05853	0.2108
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_senegalensis	0.0532	0.01598	0	0.01477	0	0.01574	0.03947	0.00302	0.00078	0.11258	0	0.00033	0.00182	0.07675	0.00328	0.45217	0.0164	0.05237	0	0.03679	0.03006	0.03816	0.25007	0.02463	0.02741	0.67045	0.14793	0.02127	0.00286	0	0.25299	0.19731	0.00596	0.19532	0.00019	0.42593	0.4241	0	0.01189	0	0.09804	0.01546	0.0124	0.00039	0.04635	0.0024	5e-05	0.00365	0.06031	0.00452	0.18687	0.08395	0.05273	0.00187	0.04112	0.01123	0.01009	0.08676	0.03543	0.00539	0.37802	0.02939	0.02849	0	8e-05	0.37532	0.32341	0.06315	0.1322	0.00097
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_johnsonii	0.05244	0.00417	0	0	1e-04	8e-05	0	0	0	0.00058	0	0	0	0	0	0.00808	0	0.00096	0	0.0988	0	0	4e-05	0	0	0.07157	0	0	0	0	0	0	0	0	0	0.15999	0.00992	0.00137	0	0.00095	0.17758	0	0	0	0.00261	0	0	0.00129	0.00682	0.00842	0.01834	0	0.00284	0.00365	0.57244	0	0	0	0	0	0.00357	0.18104	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus	0.05105	0	0	0	0.14696	0.10635	0	0	7e-05	0.01666	0.00038	0.00243	0.37007	2e-04	0	0.04403	0	0.04733	0	0.00336	0.02113	0.00407	0	0.00265	0.135	0	0	0.00511	0.00435	0	0.84439	0	0.00256	0	0	0.4472	0.00128	0	0.13922	0.83064	0.30639	0	0	0	0.05057	0.97273	0.0017	0.7804	0.17085	0.03128	0.02863	0	0.14771	0.07105	0.01013	0.06779	0.00279	0	0	0.03696	0	0	0.02154	0	0	0.4784	0	0	0	2.38695
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_unclassified	0.0444	0.10616	0	0.0151	0.00205	0.30152	0.428	0.89317	0.0707	0.09311	0	0.65427	0.18091	0.1465	0.35169	0.17697	0.22421	0.2292	0	0.00393	0.02189	0.17713	0.02781	0.40899	0.07295	0.03966	0.74458	0.20983	0.05384	0.33942	0.11954	0.31036	7e-04	0.05703	0.78427	0.27368	0.11067	0	0.13617	0.03202	0.19172	0.34053	0.16302	0.00031	0.08976	0.71289	0.28003	0.48175	0.06569	0.25197	0.39175	0.47611	0.11842	0.01297	0.08202	0.00966	0.06045	0.05692	0.01821	0.03184	0.03693	0.03714	0.12767	0.10069	0.59832	0.25813	0.24863	0.5574	0.02891	0.43217
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA	0.03964	0.00368	0.00303	0.01176	0.00022	0.0962	0.14938	6.08772	0.01064	6.22162	0.04306	0.46986	0.68817	0.06768	0.24947	0.01733	0.6841	0.24985	0.00785	0.03198	0.57395	0.03371	0.05451	0.50091	0.23535	0.04468	0.2379	0.172	0.3109	0.05494	0.0057	0.14431	0.03334	0.03408	0.09959	0.04389	0.00818	0.01578	0.39465	9e-05	0.06739	0.02549	0.42091	0.0845	1.17718	0.02125	0.04104	5e-04	0.04336	0.55006	0.0084	0.33093	1.33742	0.00481	0.12153	1.03057	0.0218	0.12537	0.0273	0.05723	0.02585	0.53997	0.01275	0.00944	0	0.01559	0.08703	0.33202	0.21984	0.19579
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified	0.03919	0.07748	0.13561	0.18624	0.03759	0.05743	0.01803	0.06767	0.00266	0.01866	0.03332	0.51705	0.0231	0.06983	0.24841	1.35608	0.16709	0.51745	0.1203	0.07459	0.85221	0.0599	0.02995	0.2742	0.18932	0.03391	0.27482	0.01722	0.85944	0.10715	0.05267	0.00114	0.00181	0.06871	0.04436	0.01778	0.05207	0.3497	0.24591	0.14219	0.08012	0.00896	0.78159	0.03335	0.04248	0.0124	0.31759	0.08755	0.04309	0.24723	0.41519	0.07552	0.11983	0.10052	0.24374	0.27931	0.0555	0.14054	0.26598	3.91125	0.4829	0.02554	0.03396	0.07286	0.01579	0.01071	0.00544	0.00359	0.01904	0.22438
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis	0.03017	0.78838	0	0.3615	0.22457	0	0.00949	2.184	0.60634	1.97174	0.37769	3.75428	0	0.20213	2.79332	0	0.59383	1.90449	0	0	1.96635	1.51308	0	2.15957	1.75995	0	5.25467	0.04567	0.13723	0	2.56855	0.13725	0.34687	1.05946	1.4691	0.04486	2.71148	0	4.19761	1.578	0.22333	0.00749	4.7042	0.59993	1.59208	0.5407	1.61406	0	0.20813	1.37726	0	0.49982	1.36272	0	0	0.70955	0.61057	0	1.88978	5.36718	0	5.13607	0.02623	0	0	1.23318	1.88736	0.99811	0.81563	3.65386
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius	0.02883	0	0	0	4.3705	0	0.29218	0	0.04017	26.92565	0	15.17293	0	0	0	0	0.06161	0.47026	0	0	5.17666	0.00181	4.85645	8.15057	3.45936	0	0	0.11317	0.40077	0	6.04805	0	0	0.02507	0	0.14254	0	0	0	14.38391	0	0.86657	0	0.03209	27.74775	0	10.09785	0	0	0	0	0.04445	0.06064	0	0	2.10942	0.00333	2.28237	0.02061	14.56194	0	0	0.04787	0	0	8.21921	0	0.00355	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0.0269	0	8.73672	0.02737	0.00017	0	0	0.335	0	0	0	0	0.13251	0.22709	1.41783	0.38371	0	0.44016	0.87114	0.00805	0.00061	0	0.32047	0.03764	0.35407	0.55434	0.89509	2.07798	0.98915	0.24001	0	0.69442	6.57519	0.00102	18.7644	0.7563	0	6.19944	0.06389	0.90136	0	0.0313	1.0935	0.0619	1.70649	1.34747	0	0.08905	0.44196	1.55878	0.74106	0	0.03703	0.00101	0.43391	0.00253	0.00042	0.0249	0	0.11037	3.52962	0.21557	0.02387	5.18495	1.10912	0	0.24337	1.45237	1.50163	28.70601
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum	0.02577	0.08669	0.05762	0.29833	0.11695	0.04929	0.08034	0.10113	0.72289	0.07582	0.06883	0.09715	0.54882	0.45888	0.36417	0.09009	0.07769	0.08369	0.14976	0.01744	0.18781	0.25813	0.08382	0.36034	0.08982	0.6888	0.1214	0.16226	0.10106	0.09104	0.03215	0.14994	0.17174	0.07412	0.11612	0.18244	0.34687	0.06082	0.08628	0.14664	0.37089	0.01872	0.04264	0.12662	0.06222	0.05805	0.05305	0.33892	0.22426	0.3573	0.16462	0.10415	0.08886	0.42343	0.04777	0.10482	0.06652	0.11582	0.35907	1.15714	0.56705	0.47756	0.11292	0.0892	0.24701	0.03283	0.07096	0.17805	0.23408	0.08993
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila	0.025	0	0	0.4637	0.04284	0.03156	0.05607	0.76525	0	0.00031	0	0.01134	1.06747	0.09023	0.76876	0	0.06336	1.07148	0.11394	0.09102	0	0.00594	0.02865	0.06566	0.07008	0.28591	0.92426	0.29213	0.00187	0.00557	0	2.3331	6.6354	0	0.19243	0.24113	0.0731	0.18712	0.40523	0	0.00377	0.00255	0.03503	0	0.01935	0	0.02648	0.01911	0.04221	0.05566	0.43729	0.16437	0.96612	0	0.57834	0.00502	0.02813	0	0.00436	0.00972	0.00207	0.88863	0	0	0	0	0.16842	1.61674	0	0.03701
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis	0.0205	0	0	0.0184	0	0.04927	0	0.09081	0.00356	0	0.003	0.03328	0.0212	0.04001	0.01197	0	0.00665	0.00325	0.01546	0.00102	0.01509	0.02208	0.00523	0.01527	0.0074	0.01759	0.00243	0.0153	0	0.0137	0.01911	0.01233	0.01415	0.00038	0.02396	0.04101	0	0	0.00804	0	0.03041	0	0.00608	0.00076	0	0.00792	0.01192	0.01003	0.02262	0.00812	0	0.04859	0.00263	0.00226	0.01581	0.00257	0.01788	0.00931	0	0	0.03484	0.00667	0.02531	0	0.23683	0.0372	0.00622	0.04011	0.01807	0.0071
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter|s__Oxalobacter_formigenes	0.02037	0	0	0.01759	0	0	0.0115	0.00771	0	0	0	0.02092	0.0112	0.04121	0.1672	0	0.00952	0.02701	0	0.00922	0.00244	0	0	0.04666	0.00266	0.19216	0	0.00047	0.00045	0	0	0.03089	0	0.02823	0	0.05596	0.08433	0	0.02781	0	0.01625	0	0.00396	0	0	0	0.00563	0.00108	0.01443	0.04574	0.00242	0.16043	0.02267	0	0.28169	0	0	0	0.04543	0	0.04467	0.2349	0.08551	0	0.00522	0	0.06045	0.16355	0.02477	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA	0.01831	0.00341	0.00079	0.5488	0.00136	0.04067	0.00836	0.08266	0.0054	0.04645	0.06422	0.02322	0.01412	0.0265	0.02778	0.01265	0.0248	0.16212	0.02069	0.00166	0.01556	0.00234	0.0014	0.03235	0.00892	0.03927	0.04799	0.01082	0.12242	0.02791	0.01131	0.02453	0.10427	0.00915	0.05136	0.02033	0.00554	0.00231	0.28368	6e-04	0.01076	0.00241	0.01115	0.00317	0.07322	0.02058	0.0145	0.02137	0.03763	0.01217	0.03089	0.05315	0.14099	0.01838	0.01915	0.00656	0.00292	0.00645	0.00624	0.01878	0.06044	0.02077	0.04057	0.08028	0.23185	0.03243	0.02545	0.06824	0.02156	0.01903
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_ruminis	0.01803	0	0	0	0	0	0	0	0	0.23659	0	0	0	0	0	0	0.16708	0	0	0	0	0	0	0	0.0055	0	0	0.00278	0.0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00651	0	0	0	0.00589	0	0	0	0.15466	0	0	0.12591	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	0.0172	0	0.00071	0.00136	0	0.00553	0.00406	0	0.00681	0.00315	0.00089	0.00409	0.00105	0.00235	0	0.02312	0.00333	0.00902	0.00052	0.00106	0.00061	0	0.02185	0.00848	0.01048	0	0.00877	0	0	0	0.00216	0	7e-04	0.00255	0	0.0151	0.00265	0	0.00044	0.00016	0.00775	0	0	5e-05	0.00019	0	0.01366	0.00022	0.00462	0.0062	0.00903	0	0.00421	0.00352	0.0079	0.00256	0.00022	0.02839	0.03312	0.00181	0.00034	0.0086	0.00087	0	0	0.00456	0.00282	0	0.00213	0.00136
